Subject,Session,Force,IsOutlier,Object,Target,Ideal,IdealInterp
1,3,417.606040079499,0,2,2,426.027213000524,426.027213000524
1,3,413.481178876988,0,2,2,376.705284290502,376.705284290502
1,3,600.403942447563,1,2,2,379.031519301929,379.031519301929
1,3,455.920771819527,0,2,2,382.400313347129,382.400313347129
1,3,443.734848033848,0,3,2,556.363109412577,443.90673623344
1,3,339.226869557844,0,3,2,554.21933567037,442.196278460402
1,3,396.577783446353,0,3,2,495.138676846349,395.057454930598
1,3,448.250150517044,0,3,2,536.543867477089,428.093511284911
1,3,483.167978123201,0,3,2,533.12970412198,425.369444778175
1,3,385.303548220603,0,3,2,558.31341529472,445.462831352171
1,3,302.737935909308,0,3,2,582.566598541147,464.813775431766
1,3,475.965770136388,0,3,2,565.972883861179,451.574109463707
1,3,462.853449747453,0,3,2,520.864083977994,415.583045727122
1,3,509.003184984699,0,3,2,583.521469134003,465.575640266492
1,3,476.744285588585,0,4,2,490.572657046889,490.572657046889
1,3,442.055488283292,0,4,2,537.096833653672,537.096833653672
1,3,511.415115183475,0,4,2,500.833447488646,500.833447488646
1,3,533.013538560976,0,4,2,424.346212101789,424.346212101789
1,3,448.134487300264,0,4,2,371.92092836056,371.92092836056
1,3,301.433586729129,0,4,2,544.602358975523,544.602358975523
1,3,374.836379783193,0,4,2,565.186957236201,565.186957236201
1,3,419.782717648789,0,4,2,512.52731134296,512.52731134296
1,3,413.497447012229,0,4,2,531.399632692222,531.399632692222
1,3,616.600890073838,0,4,2,505.968115154385,505.968115154385
1,3,474.33794745705,0,5,2,599.418964380654,599.418964380654
1,3,444.076285761522,0,5,2,496.673171082658,496.673171082658
1,3,448.657280874336,0,5,2,517.012703411947,517.012703411947
1,3,561.792570456065,0,5,2,496.216381078076,496.216381078076
1,3,551.826112582795,0,5,2,548.143267639661,548.143267639661
1,3,566.156362877197,0,5,2,624.908710629456,624.908710629456
1,3,428.209491986374,0,5,2,498.593443752123,498.593443752123
1,3,497.386216732756,0,5,2,573.145263958954,573.145263958954
1,3,471.622022112163,0,5,2,553.791473004182,553.791473004182
1,3,468.52118248282,0,5,2,632.376871507986,632.376871507986
1,3,386.632051892729,0,1,3,270.340973933141,270.340973933141
1,3,326.60928897875,0,1,3,265.063708983882,265.063708983882
1,3,356.008011629802,0,1,3,315.843293153294,315.843293153294
1,3,387.397189790016,0,1,3,321.061747092661,321.061747092661
1,3,387.726918486405,0,1,3,309.401537510625,309.401537510625
1,3,410.758601500872,0,1,3,317.122338101597,317.122338101597
1,3,371.910092565347,0,1,3,301.966502662754,301.966502662754
1,3,295.775339764741,0,1,3,362.582335995119,362.582335995119
1,3,433.212695715454,0,1,3,347.651411451619,347.651411451619
1,3,455.061680238167,0,1,3,327.452104268245,327.452104268245
1,3,324.721687946175,0,2,3,331.632490202639,331.632490202639
1,3,267.503918439706,0,2,3,319.502425060009,319.502425060009
1,3,375.266892635021,0,2,3,337.025722539257,337.025722539257
1,3,407.836960477295,0,2,3,370.956707706862,370.956707706862
1,3,311.052146991037,0,2,3,195.809170048046,195.809170048046
1,3,324.060802967227,0,2,3,301.31908518672,301.31908518672
1,3,402.295773961823,0,2,3,350.105345496352,350.105345496352
1,3,391.161939963455,0,2,3,459.253856163528,459.253856163528
1,3,317.307663771506,0,2,3,392.23218906812,392.23218906812
1,3,418.336888186055,0,2,3,335.995783518306,335.995783518306
1,3,430.710111927445,0,3,3,426.695165099686,340.448270026345
1,3,333.678162729462,0,3,3,430.259493660534,343.292149197235
1,3,422.227755253267,0,3,3,523.718282945817,417.86033213762
1,3,411.248482292374,0,3,3,518.723747087378,413.875330122908
1,3,294.800719242842,0,3,3,512.945860798516,409.265314466901
1,3,311.139876404839,0,3,3,494.672839103393,394.685775880366
1,3,351.809792887683,0,3,3,509.061256760477,406.165896351444
1,3,361.193942068843,0,3,3,540.066905647519,430.904445995361
1,3,486.988581530229,0,3,3,429.154377337574,342.410407450191
1,3,399.313082278456,0,3,3,531.688374926179,424.219448079398
1,3,296.821821102781,0,4,3,456.841170268751,456.841170268751
1,3,342.351391961136,0,4,3,444.688712773674,444.688712773674
1,3,360.504038796567,0,4,3,390.737861322967,390.737861322967
1,3,371.379503346706,0,4,3,425.119113368222,425.119113368222
1,3,401.771562579043,0,4,3,412.778420556865,412.778420556865
1,3,327.7349266076,0,4,3,364.838181786824,364.838181786824
1,3,359.135662838922,0,4,3,391.785315583591,391.785315583591
1,3,272.470303223489,0,4,3,480.122060548788,480.122060548788
1,3,473.784675737332,0,4,3,433.967317493164,433.967317493164
1,3,374.688289702169,0,4,3,498.30682861631,498.30682861631
1,3,450.82036094003,0,5,3,490.168047521908,490.168047521908
1,3,383.337767058173,0,5,3,490.720230393852,490.720230393852
1,3,376.070201867761,0,5,3,457.212695280517,457.212695280517
1,3,455.50105428691,0,5,3,388.540844771555,388.540844771555
1,3,346.545939553039,0,5,3,524.000990559817,524.000990559817
1,3,433.922186238285,0,5,3,445.217435708147,445.217435708147
1,3,361.305586883088,0,5,3,540.99363750341,540.99363750341
1,3,353.162850344621,0,5,3,520.235053203794,520.235053203794
1,3,330.130467647015,0,5,3,533.250528767899,533.250528767899
1,3,440.780011999094,0,5,3,504.791975627012,504.791975627012
2,1,298.351177044718,0,1,2,348.658324258798,348.658324258798
2,1,282.763732826145,0,1,2,370.464819508182,370.464819508182
2,1,402.196591773737,0,1,2,259.618692311737,259.618692311737
2,1,404.567840296848,0,1,2,280.817270739313,280.817270739313
2,1,321.222753662881,0,1,2,279.42928599441,279.42928599441
2,1,328.854175388457,0,1,2,283.040904979113,283.040904979113
2,1,378.04788439467,0,1,2,259.137794583779,259.137794583779
2,1,284.723323871213,0,1,2,219.562530146917,219.562530146917
2,1,249.011493420469,0,1,2,194.220240692199,194.220240692199
2,1,278.903916580033,0,1,2,339.447977268754,339.447977268754
2,1,276.834907866035,0,2,2,352.217196366593,352.217196366593
2,1,342.14083104744,0,2,2,279.752918891042,279.752918891042
2,1,329.301820794841,0,2,2,284.351511508219,284.351511508219
2,1,333.920227252468,0,2,2,289.197331841139,289.197331841139
2,1,265.86693690999,0,2,2,353.847444620454,353.847444620454
2,1,323.501824652631,0,2,2,368.509078955032,368.509078955032
2,1,290.929309982947,0,2,2,292.478173045221,292.478173045221
2,1,256.481079881888,0,2,2,316.456359114734,316.456359114734
2,1,309.132142417588,0,2,2,317.089393652727,317.089393652727
2,1,-175.348587916394,1,2,2,211.13624957609,211.13624957609
2,1,248.347904233894,0,4,2,433.281506295252,433.281506295252
2,1,290.993995787477,0,4,2,394.291760539187,394.291760539187
2,1,364.86206188212,0,4,2,406.179342365069,406.179342365069
2,1,348.516709005115,0,4,2,358.194534284868,358.194534284868
2,1,333.003939034427,0,4,2,368.938681814102,368.938681814102
2,1,309.533878470996,0,4,2,431.338510248365,431.338510248365
2,1,356.429380576261,0,4,2,423.634405133198,423.634405133198
2,1,325.938601214523,0,4,2,431.356064154392,431.356064154392
2,1,310.987853511787,0,4,2,389.433444161644,389.433444161644
2,1,276.571839290596,0,4,2,359.001392668069,359.001392668069
2,1,301.93357925057,0,5,2,489.033651752932,489.033651752932
2,1,292.758677693263,0,5,2,413.630811903153,413.630811903153
2,1,306.20283532822,0,5,2,468.545060718544,468.545060718544
2,1,323.850918219943,0,5,2,361.915241376372,361.915241376372
2,1,334.751410816727,0,5,2,452.208218771444,452.208218771444
2,1,412.461172472569,0,5,2,473.322064192355,473.322064192355
2,1,406.608881213373,0,5,2,432.672443144542,432.672443144542
2,1,331.370319442311,0,5,2,359.575321935202,359.575321935202
2,1,342.521369791941,0,5,2,415.222457154369,415.222457154369
2,1,277.953850578104,0,5,2,437.902073548222,437.902073548222
2,1,413.463995040617,0,5,3,510.177920986284,510.177920986284
2,1,401.356293472967,0,5,3,501.09966522909,501.09966522909
2,1,362.611295441389,0,5,3,472.61147668171,472.61147668171
2,1,354.860702653931,0,5,3,419.812790825054,419.812790825054
2,1,366.127347882831,0,5,3,498.901921285324,498.901921285324
2,1,410.249456593112,0,5,3,484.113410553707,484.113410553707
2,1,384.311685056403,0,5,3,414.168939738834,414.168939738834
2,1,443.398534579294,0,5,3,457.981597788582,457.981597788582
2,1,345.621405854659,0,5,3,433.05974459848,433.05974459848
2,1,305.937122929908,0,5,3,366.420925502274,366.420925502274
2,2,370.227679420888,0,3,1,433.613642861563,345.968332070395
2,2,352.967726539321,0,3,1,474.34352722456,378.465580232362
2,2,431.893892469111,0,3,1,511.421247369518,408.048867582062
2,2,365.224060258748,0,3,1,560.325910834916,447.068545878922
2,2,289.892158648162,0,3,1,534.500644147301,426.463279904762
2,2,540.553639779509,1,3,1,454.052206930734,362.275697019203
2,2,394.256170680034,0,3,1,350.659468588323,279.781490894939
2,2,357.627468883851,0,3,1,515.791902175332,411.536092161169
2,2,390.005807076827,0,3,1,478.01169031486,381.392306102282
2,2,248.872834395966,0,3,1,601.789354767168,480.151080931251
2,2,288.20342976369,0,1,2,243.15325942631,243.15325942631
2,2,298.772750641031,0,1,2,253.882190045659,253.882190045659
2,2,316.666867024187,0,1,2,270.193498611061,270.193498611061
2,2,334.183256093313,0,1,2,238.141019616266,238.141019616266
2,2,216.497039061246,0,1,2,270.725094680881,270.725094680881
2,2,256.502782929112,0,1,2,252.210048163912,252.210048163912
2,2,257.73128219068,0,1,2,237.70375552585,237.70375552585
2,2,321.662912191679,0,1,2,270.867493953497,270.867493953497
2,2,217.002632166164,0,1,2,233.658980214887,233.658980214887
2,2,263.234807058681,0,1,2,286.203985677491,286.203985677491
2,2,287.992544729719,0,2,2,298.590261263767,298.590261263767
2,2,351.446773156484,0,2,2,285.125483108155,285.125483108155
2,2,349.586445357958,0,2,2,278.155319115236,278.155319115236
2,2,340.678050236483,0,2,2,281.490010870137,281.490010870137
2,2,299.592191593643,0,2,2,309.459161336071,309.459161336071
2,2,301.756950322703,0,2,2,309.621959448612,309.621959448612
2,2,375.695023116259,0,2,2,292.051355315398,292.051355315398
2,2,377.514551746043,0,2,2,332.452114699881,332.452114699881
2,2,289.130396655162,0,2,2,309.348293944669,309.348293944669
2,2,354.120747789186,0,2,2,286.10918291899,286.10918291899
2,2,348.295012631202,0,3,2,390.594678325616,311.644690153417
2,2,428.188431181662,0,3,2,386.539567014048,308.40922900057
2,2,393.663455003845,0,3,2,439.585233564461,350.73289912058
2,2,212.713002548116,0,3,2,483.543183428548,385.805731458948
2,2,247.35423332625,0,3,2,490.964085536564,391.72666399194
2,2,324.67722548753,0,3,2,479.522039769908,382.597372156842
2,2,331.552887654075,0,3,2,470.126187408516,375.100681442965
2,2,366.397337312954,0,3,2,482.381346627263,384.878734011114
2,2,456.514563644952,0,3,2,475.907088961386,379.713102894723
2,2,272.76779378668,0,3,2,414.239499769178,330.510239177536
2,2,291.781572087485,0,4,2,397.799734105669,397.799734105669
2,2,331.864706383047,0,4,2,356.298955428468,356.298955428468
2,2,346.475607561113,0,4,2,397.797056628865,397.797056628865
2,2,365.435570428033,0,4,2,345.774954751579,345.774954751579
2,2,321.683455461298,0,4,2,345.542973478965,345.542973478965
2,2,289.259708394874,0,4,2,315.76045190407,315.76045190407
2,2,368.971602062298,0,4,2,407.322427663133,407.322427663133
2,2,323.265409537603,0,4,2,490.176504963758,490.176504963758
2,2,403.020452927021,0,4,2,397.59045668992,397.59045668992
2,2,266.006552721337,0,4,2,438.90453366097,438.90453366097
2,2,358.159791830554,0,5,2,451.109588542067,451.109588542067
2,2,292.351021426498,0,5,2,472.34900465968,472.34900465968
2,2,330.260238092691,0,5,2,360.170940477795,360.170940477795
2,2,346.016290763118,0,5,2,486.723685540659,486.723685540659
2,2,374.146826450439,0,5,2,380.252273225167,380.252273225167
2,2,353.007102670451,0,5,2,443.006252020518,443.006252020518
2,2,304.666895386151,0,5,2,520.42498315534,520.42498315534
2,2,363.233172401732,0,5,2,533.785734742036,533.785734742036
2,2,365.827470046396,0,5,2,418.897340514508,418.897340514508
2,2,323.696386928297,0,5,2,523.987280770275,523.987280770275
2,2,354.000836246134,0,5,3,437.634785684976,437.634785684976
2,2,323.556608728728,0,5,3,405.128424346996,405.128424346996
2,2,341.031860173591,0,5,3,438.615515118134,438.615515118134
2,2,375.318676905619,0,5,3,428.137298838122,428.137298838122
2,2,353.531522618274,0,5,3,371.541877005508,371.541877005508
2,2,347.657466506467,0,5,3,446.063352530959,446.063352530959
2,2,311.948571150641,0,5,3,427.080820060517,427.080820060517
2,2,392.376308372145,0,5,3,472.798582006192,472.798582006192
2,2,307.286399288815,0,5,3,409.051246991107,409.051246991107
2,2,325.330950309497,0,5,3,346.698023162497,346.698023162497
2,3,305.831769528952,0,1,1,298.92077173572,298.92077173572
2,3,435.31728445781,0,1,1,290.588062295902,290.588062295902
2,3,414.85966741569,0,1,1,327.687579103061,327.687579103061
2,3,288.155721572891,0,1,1,261.659090506671,261.659090506671
2,3,544.567741708878,0,1,1,289.095865679986,289.095865679986
2,3,405.105558034035,0,1,1,312.986885106424,312.986885106424
2,3,379.57760735313,0,1,1,267.534883520777,267.534883520777
2,3,371.498336141375,0,1,1,314.223121619632,314.223121619632
2,3,330.215569918515,0,1,1,296.555265911989,296.555265911989
2,3,378.069418772715,0,1,1,298.247168558301,298.247168558301
2,3,401.659324149983,0,2,1,357.605519754554,357.605519754554
2,3,453.448571364782,0,2,1,344.391631984806,344.391631984806
2,3,556.489767327562,0,2,1,384.091974894894,384.091974894894
2,3,451.540100648424,0,2,1,347.619600442922,347.619600442922
2,3,548.753229245637,0,2,1,491.728786908951,491.728786908951
2,3,530.73028413101,0,2,1,367.123832431615,367.123832431615
2,3,366.842639148329,0,2,1,334.959661400097,334.959661400097
2,3,409.951927724802,0,2,1,366.787812872786,366.787812872786
2,3,309.355466592964,0,2,1,391.325072135897,391.325072135897
2,3,326.966352518701,0,2,1,329.637135434678,329.637135434678
2,3,320.347411797781,0,3,1,590.229975609854,470.928172029138
2,3,348.577282088853,0,3,1,490.063940327192,391.008463027014
2,3,428.1473833766,0,3,1,592.794814878827,472.974586339489
2,3,451.899609438012,0,3,1,459.021127420368,366.240261239655
2,3,432.012034705349,0,3,1,542.971108294782,433.221628958603
2,3,335.511238146746,0,3,1,461.49538352487,368.214401748566
2,3,270.55134972256,0,3,1,545.327801631871,435.101969387131
2,3,509.172992164406,0,3,1,439.124834741573,350.365559634234
2,3,487.275266498141,0,3,1,485.859317101708,387.653710453491
2,3,456.348970080711,0,3,1,472.258408832281,376.80192194065
2,3,451.446553343099,0,4,1,434.673163203006,434.673163203006
2,3,392.034216187957,0,4,1,508.563643870785,508.563643870785
2,3,577.381776476316,0,4,1,544.120393880488,544.120393880488
2,3,366.615219479981,0,4,1,465.903508641003,465.903508641003
2,3,509.894634492456,0,4,1,419.304492467163,419.304492467163
2,3,478.452464369012,0,4,1,513.864017635427,513.864017635427
2,3,315.612585741549,0,4,1,563.473053780323,563.473053780323
2,3,521.424012039284,0,4,1,435.26484513203,435.26484513203
2,3,496.372929617118,0,4,1,435.580683228033,435.580683228033
2,3,387.845581200472,0,4,1,558.044815954658,558.044815954658
2,3,381.163464081483,0,5,1,494.673503164907,494.673503164907
2,3,436.038149618798,0,5,1,436.284041711562,436.284041711562
2,3,632.295566697682,0,5,1,513.780662156358,513.780662156358
2,3,596.289427010931,0,5,1,530.199633410129,530.199633410129
2,3,290.231164893159,0,5,1,543.666288700192,543.666288700192
2,3,582.404783326428,0,5,1,566.163351472594,566.163351472594
2,3,438.832766854613,0,5,1,576.707455596543,576.707455596543
2,3,425.212996626276,0,5,1,588.432864449208,588.432864449208
2,3,349.22612943915,0,5,1,494.155311634461,494.155311634461
2,3,317.103518037886,0,5,1,611.802679154868,611.802679154868
2,3,293.776092599855,0,1,2,269.050527879022,269.050527879022
2,3,371.039603854386,0,1,2,323.130766349321,323.130766349321
2,3,265.044372686131,0,1,2,330.804601913914,330.804601913914
2,3,299.448247103139,0,1,2,265.858547376554,265.858547376554
2,3,295.947875723161,0,1,2,284.206487527685,284.206487527685
2,3,259.23555811755,0,1,2,246.915198070761,246.915198070761
2,3,354.680366582669,0,1,2,279.766948003178,279.766948003178
